model,dataset,pipeline,judge_accuracy,n_judged
gemini-flash-lite,musique,agentic_(react),0.405,200
gemini-flash-lite,musique,crag_replica,0.225,200
gemini-flash-lite,musique,loop_refinement,0.38,200
gemini-flash-lite,musique,naive_rag,0.335,200
gemini-flash-lite,musique,single-pass,0.36,200
gemini-flash-lite,financebench,agentic_(react),0.5267,150
gemini-flash-lite,financebench,crag_replica,0.4867,150
gemini-flash-lite,financebench,loop_refinement,0.5333,150
gemini-flash-lite,financebench,naive_rag,0.58,150
gemini-flash-lite,financebench,single-pass,0.5067,150
gemini-flash-lite,2wikimultihopqa,agentic_(react),0.645,200
gemini-flash-lite,2wikimultihopqa,crag_replica,0.32,200
gemini-flash-lite,2wikimultihopqa,loop_refinement,0.505,200
gemini-flash-lite,2wikimultihopqa,naive_rag,0.4,200
gemini-flash-lite,2wikimultihopqa,single-pass,0.495,200
gemini-flash-lite,hotpotqa,agentic_(react),0.765,200
gemini-flash-lite,hotpotqa,crag_replica,0.645,200
gemini-flash-lite,hotpotqa,loop_refinement,0.73,200
gemini-flash-lite,hotpotqa,naive_rag,0.7,200
gemini-flash-lite,hotpotqa,single-pass,0.72,200
gpt-5-mini,2wikimultihopqa,agentic_(react),0.56,200
gpt-5-mini,2wikimultihopqa,crag_replica,0.655,200
gpt-5-mini,2wikimultihopqa,loop_refinement,0.54,200
gpt-5-mini,2wikimultihopqa,naive_rag,0.405,200
gpt-5-mini,2wikimultihopqa,single-pass,0.485,200
gpt-5-mini,hotpotqa,agentic_(react),0.79,200
gpt-5-mini,hotpotqa,crag_replica,0.78,200
gpt-5-mini,hotpotqa,loop_refinement,0.75,200
gpt-5-mini,hotpotqa,naive_rag,0.755,200
gpt-5-mini,hotpotqa,single-pass,0.735,200
gpt-5-mini,financebench,agentic_(react),0.5133,150
gpt-5-mini,financebench,crag_replica,0.52,150
gpt-5-mini,financebench,loop_refinement,0.5067,150
gpt-5-mini,financebench,naive_rag,0.54,150
gpt-5-mini,financebench,single-pass,0.48,150
gpt-5-mini,musique,agentic_(react),0.505,200
gpt-5-mini,musique,crag_replica,0.46,200
gpt-5-mini,musique,loop_refinement,0.485,200
gpt-5-mini,musique,naive_rag,0.425,200
gpt-5-mini,musique,single-pass,0.49,200
